Geneid	p_value	p_value_corrected
ENSG00000235262	4.385772260632061e-08	0.00038149640009107984
ENSG00000254616	4.385772260632061e-08	0.00038149640009107984
ENSG00000259512	4.385772260632061e-08	0.00038149640009107984
ENSG00000222276	4.385772260632061e-08	0.00038149640009107984
ENSG00000214825	1.0660173919222257e-06	0.007418201826908384
ENSG00000206647	2.0359885347577314e-05	0.08525657210197976
ENSG00000189280	2.4503239668327806e-05	0.08525657210197976
ENSG00000275705	2.4503239668327806e-05	0.08525657210197976
ENSG00000223920	2.4503239668327806e-05	0.08525657210197976
ENSG00000267672	2.4503239668327806e-05	0.08525657210197976
ENSG00000166199	7.25259518983826e-05	0.22940617912293854
ENSG00000184517	0.00011516036933147189	0.33390749087660276
ENSG00000275797	0.0001539561262640992	0.33479684107706675
ENSG00000267006	0.0001539561262640992	0.33479684107706675
ENSG00000259070	0.0001539561262640992	0.33479684107706675
ENSG00000252202	0.0001539561262640992	0.33479684107706675
ENSG00000174448	0.0001852442927563428	0.37914058365671716
ENSG00000273160	0.00023274982928904065	0.43370377327747656
ENSG00000113712	0.00024308068167918864	0.43370377327747656
ENSG00000257906	0.00024929802453151496	0.43370377327747656
ENSG00000232489	0.000298307842037142	0.49425347884953896
ENSG00000259845	0.0003272745587272556	0.5035113234492916
ENSG00000114698	0.000332837858232273	0.5035113234492916
ENSG00000268902	0.00040393897233383786	0.5537948990531182
ENSG00000228686	0.00042226568105899106	0.5537948990531182
ENSG00000222810	0.00042974254970495456	0.5537948990531182
ENSG00000231861	0.00042974254970495456	0.5537948990531182
ENSG00000227653	0.0005166531499711525	0.64201534643201
ENSG00000198833	0.0005427757993895826	0.6512186608262461
ENSG00000112343	0.0005844553847570662	0.6778513552412454
ENSG00000250725	0.0006251379677590699	0.6803685929038503
ENSG00000249047	0.0006394439559053884	0.6803685929038503
ENSG00000258938	0.000670267534156711	0.6803685929038503
ENSG00000110057	0.0006806559801917644	0.6803685929038503
ENSG00000253320	0.0006843967566716894	0.6803685929038503
ENSG00000198829	0.0007221152651856326	0.6861333102905836
ENSG00000186076	0.000729635353243421	0.6861333102905836
ENSG00000197375	0.0007551446045956586	0.6914342466395091
ENSG00000255318	0.0008224354360044355	0.7337389374445725
ENSG00000216285	0.0009463937060754313	0.8008297397372428
ENSG00000132204	0.0009672197314034875	0.8008297397372428
ENSG00000269099	0.0009965778675522204	0.8008297397372428
ENSG00000085117	0.000999705703118315	0.8008297397372428
ENSG00000124466	0.0010310583134610907	0.8008297397372428
ENSG00000233457	0.0010357342728107123	0.8008297397372428
ENSG00000211747	0.0012527795087764288	0.8582645063837668
ENSG00000234422	0.0012719877739177034	0.8582645063837668
ENSG00000133103	0.0013220677502696896	0.8582645063837668
ENSG00000219433	0.0013329948932342547	0.8582645063837668
ENSG00000133136	0.0013662451165363926	0.8582645063837668
ENSG00000126861	0.0014561264553611607	0.8582645063837668
ENSG00000231989	0.0014656132940403463	0.8582645063837668
ENSG00000140350	0.0014710733208162599	0.8582645063837668
ENSG00000211553	0.001494054151255914	0.8582645063837668
ENSG00000126860	0.001495862166080203	0.8582645063837668
ENSG00000202515	0.0014964562724026555	0.8582645063837668
